,0
Country/Region,"AfghanistanAlbaniaAlgeriaAndorraAngolaAntigua and BarbudaArgentinaArmeniaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustriaAzerbaijanBahamasBahrainBangladeshBarbadosBelarusBelgiumBelizeBeninBhutanBoliviaBosnia and HerzegovinaBotswanaBrazilBruneiBulgariaBurkina FasoBurmaBurundiCabo VerdeCambodiaCameroonCanadaCentral African RepublicChadChileChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaChinaColombiaComorosCongo (Brazzaville)Congo (Kinshasa)Costa RicaCote d'IvoireCroatiaCubaCyprusCzechiaDenmarkDenmarkDenmarkDiamond PrincessDjiboutiDominicaDominican RepublicEcuadorEgyptEl SalvadorEquatorial GuineaEritreaEstoniaEswatiniEthiopiaFijiFinlandFranceFranceFranceFranceFranceFranceFranceFranceFranceFranceFranceGabonGambiaGeorgiaGermanyGhanaGreeceGrenadaGuatemalaGuineaGuinea-BissauGuyanaHaitiHoly SeeHondurasHungaryIcelandIndiaIndonesiaIranIraqIrelandIsraelItalyJamaicaJapanJordanKazakhstanKenyaKorea, SouthKosovoKuwaitKyrgyzstanLaosLatviaLebanonLesothoLiberiaLibyaLiechtensteinLithuaniaLuxembourgMS ZaandamMadagascarMalawiMalaysiaMaldivesMaliMaltaMarshall IslandsMauritaniaMauritiusMexicoMoldovaMonacoMongoliaMontenegroMoroccoMozambiqueNamibiaNepalNetherlandsNetherlandsNetherlandsNetherlandsNetherlandsNew ZealandNicaraguaNigerNigeriaNorth MacedoniaNorwayOmanPakistanPanamaPapua New GuineaParaguayPeruPhilippinesPolandPortugalQatarRomaniaRussiaRwandaSaint Kitts and NevisSaint LuciaSaint Vincent and the GrenadinesSan MarinoSao Tome and PrincipeSaudi ArabiaSenegalSerbiaSeychellesSierra LeoneSingaporeSlovakiaSloveniaSolomon IslandsSomaliaSouth AfricaSouth SudanSpainSri LankaSudanSurinameSwedenSwitzerlandSyriaTaiwan*TajikistanTanzaniaThailandTimor-LesteTogoTrinidad and TobagoTunisiaTurkeyUSUgandaUkraineUnited Arab EmiratesUnited KingdomUnited KingdomUnited KingdomUnited KingdomUnited KingdomUnited KingdomUnited KingdomUnited KingdomUnited KingdomUnited KingdomUnited KingdomUruguayUzbekistanVenezuelaVietnamWest Bank and GazaWestern SaharaYemenZambiaZimbabwe"
Lat,5015.775487000001
Long,7414.598797999999
1/22/20,28
1/23/20,30
1/24/20,36
1/25/20,39
1/26/20,52
1/27/20,61
1/28/20,107
1/29/20,126
1/30/20,143
1/31/20,222
2/1/20,284
2/2/20,472
2/3/20,623
2/4/20,852
2/5/20,1124
2/6/20,1487
2/7/20,2011
2/8/20,2616
2/9/20,3244
2/10/20,3946
2/11/20,4683
2/12/20,5150
2/13/20,6295
2/14/20,8058
2/15/20,9395
2/16/20,10865
2/17/20,12583
2/18/20,14352
2/19/20,16121
2/20/20,18177
2/21/20,18890
2/22/20,22886
2/23/20,23394
2/24/20,25227
2/25/20,27905
2/26/20,30384
2/27/20,33277
2/28/20,36711
2/29/20,39782
3/1/20,42716
3/2/20,45602
3/3/20,48228
3/4/20,51170
3/5/20,53796
3/6/20,55865
3/7/20,58359
3/8/20,60694
3/9/20,62493
3/10/20,64404
3/11/20,67002
3/12/20,68324
3/13/20,70251
3/14/20,72622
3/15/20,76032
3/16/20,78086
3/17/20,80838
3/18/20,83321
3/19/20,84958
3/20/20,87403
3/21/20,91670
3/22/20,97885
3/23/20,98351
3/24/20,107992
3/25/20,113775
3/26/20,122145
3/27/20,130921
3/28/20,139424
3/29/20,148891
3/30/20,164337
3/31/20,177825
4/1/20,192918
4/2/20,209967
4/3/20,225415
4/4/20,245832
4/5/20,259672
4/6/20,276252
4/7/20,299643
4/8/20,328359
4/9/20,353707
4/10/20,375509
4/11/20,401766
4/12/20,421180
4/13/20,448347
4/14/20,473436
4/15/20,510106
4/16/20,540926
4/17/20,567049
4/18/20,590968
4/19/20,622623
4/20/20,644613
4/21/20,679456
4/22/20,709881
4/23/20,738661
4/24/20,788712
4/25/20,816491
4/26/20,845096
4/27/20,872865
4/28/20,906136
4/29/20,948318
4/30/20,1013284
5/1/20,1051537
5/2/20,1092416
5/3/20,1124732
5/4/20,1158819
5/5/20,1195359
5/6/20,1241365
5/7/20,1280833
5/8/20,1317383
5/9/20,1370933
5/10/20,1404527
5/11/20,1451521
5/12/20,1488542
5/13/20,1544398
5/14/20,1584114
5/15/20,1632122
5/16/20,1688714
5/17/20,1729621
5/18/20,1782542
5/19/20,1834647
5/20/20,1893575
5/21/20,1944840
5/22/20,2053491
5/23/20,2108462
5/24/20,2163902
5/25/20,2227625
5/26/20,2282839
5/27/20,2346232
5/28/20,2413089
5/29/20,2490435
5/30/20,2560888
5/31/20,2637208
6/1/20,2692105
6/2/20,2796228
6/3/20,2875332
6/4/20,2945385
6/5/20,3014544
6/6/20,3086748
6/7/20,3141849
6/8/20,3293412
6/9/20,3375694
6/10/20,3454832
6/11/20,3540714
6/12/20,3620438
6/13/20,3706372
6/14/20,3777157
6/15/20,3857365
6/16/20,3955205
6/17/20,4073992
6/18/20,4155134
6/19/20,4250149
6/20/20,4365974
6/21/20,4434711
6/22/20,4526337
6/23/20,4630412
6/24/20,4746172
6/25/20,4839028
6/26/20,4945742
6/27/20,5052107
6/28/20,5141227
6/29/20,5235793
6/30/20,5353115
7/1/20,5469041
7/2/20,5753918
7/3/20,5863818
7/4/20,6059651
7/5/20,6178973
7/6/20,6302585
7/7/20,6447610
7/8/20,6605559
7/9/20,6740073
7/10/20,6879465
7/11/20,7005174
7/12/20,7116853
7/13/20,7257197
7/14/20,7399397
7/15/20,7559178
7/16/20,7711548
7/17/20,7894858
7/18/20,8045815
7/19/20,8133692
7/20/20,8292688
7/21/20,8467335
7/22/20,8643722
7/23/20,8813886
7/24/20,9043203
7/25/20,9262520
7/26/20,9402996
7/27/20,9572619
7/28/20,9746473
7/29/20,9948163
7/30/20,10170650
7/31/20,10369255
8/1/20,10553852
8/2/20,10690555
8/3/20,10913000
8/4/20,11137165
8/5/20,11358861
8/6/20,11547831
8/7/20,11740482
8/8/20,11941861
8/9/20,12118746
8/10/20,12282977
8/11/20,12588120
8/12/20,12829625
8/13/20,12994838
8/14/20,13279288
8/15/20,13448301
8/16/20,13679557
8/17/20,13891142
8/18/20,14119129
8/19/20,14336714
8/20/20,14544618
8/21/20,14714711
8/22/20,14924833
8/23/20,15140069
8/24/20,15340270
8/25/20,15573057
8/26/20,15797560
8/27/20,15999266
8/28/20,16199844
8/29/20,16411585
8/30/20,16620139
8/31/20,16821702
9/1/20,17079381
9/2/20,17298150
9/3/20,17519051
9/4/20,17732989
9/5/20,17933979
9/6/20,18144209
9/7/20,18343108
9/8/20,18544747
9/9/20,18784778
9/10/20,19000545
9/11/20,19224079
9/12/20,19447558
9/13/20,19633499
9/14/20,19863106
9/15/20,20089476
9/16/20,20318600
9/17/20,20538086
9/18/20,20790028
9/19/20,21027965
9/20/20,21264098
9/21/20,21507448
9/22/20,21727303
9/23/20,21991024
9/24/20,22245775
9/25/20,22485502
9/26/20,22728853
9/27/20,22939253
9/28/20,23164809
9/29/20,23402735
9/30/20,23652271
10/1/20,23872886
10/2/20,24044783
10/3/20,24302969
10/4/20,24521170
10/5/20,24760057
10/6/20,24993149
10/7/20,25248549
10/8/20,25468041
10/9/20,25673338
10/10/20,25865384
10/11/20,26083210
10/12/20,26287563
10/13/20,26481246
10/14/20,26693195
10/15/20,26900376
10/16/20,27105030
10/17/20,27303710
10/18/20,27502706
10/19/20,27713008
10/20/20,27926735
10/21/20,28137873
10/22/20,28364277
10/23/20,28570400
10/24/20,28781667
10/25/20,28978022
10/26/20,29217448
10/27/20,29807969
10/28/20,30073936
10/29/20,30320483
10/30/20,30575509
10/31/20,30820526
11/1/20,31078260
11/2/20,31357886
11/3/20,31609242
11/4/20,31889030
11/5/20,32192465
11/6/20,32480626
11/7/20,32779541
11/8/20,33032762
11/9/20,33289404
